OZNACZENIE,P [mm],d [mm],d2 [mm],d1 [mm],d3 [mm],A [mm2]
"M0,25",0.075,0.25,0.201,0.169,0.158,0.020
"M0,3",0.08,0.3,0.248,0.213,0.202,0.032
"M0,35",0.09,0.35,0.292,0.253,0.240,0.045
"M0,4",0.1,0.4,0.335,0.292,0.277,0.060
"M0,45",0.1,0.45,0.385,0.342,0.327,0.084
"M0,5",0.125,0.5,0.419,0.365,0.347,0.094
"M0,55",0.125,0.55,0.469,0.415,0.397,0.123
"M0,6",0.15,0.6,0.503,0.438,0.416,0.136
"M0,7",0.175,0.7,0.586,0.511,0.485,0.185
"M0,8",0.2,0.8,0.670,0.583,0.555,0.241
"M0,9",0.225,0.9,0.754,0.656,0.624,0.306
M1,0.25,1,0.838,0.729,0.693,0.377
"M1x0,2",0.2,1,0.870,0.783,0.755,0.447
"M1,1",0.25,1.1,0.938,0.829,0.793,0.494
"M1,1x0,2",0.2,1.1,0.970,0.883,0.855,0.573
"M1,2",0.25,1.2,1.038,0.929,0.893,0.626
"M1,2x0,2",0.2,1.2,1.070,0.983,0.955,0.715
"M1,4",0.3,1.4,1.205,1.075,1.032,0.836
"M1,4x0,2",0.2,1.4,1.270,1.183,1.155,1.047
"M1,6",0.35,1.6,1.373,1.221,1.171,1.076
"M1,6x0,2",0.2,1.6,1.470,1.383,1.355,1.440
"M1,8",0.35,1.8,1.573,1.421,1.371,1.475
"M1,8x0,2",0.2,1.8,1.670,1.583,1.555,1.897
M2,0.4,2,1.740,1.567,1.509,1.788
"M2x0,25",0.25,2,1.838,1.729,1.693,2.251
"M2,2",0.45,2.2,1.908,1.713,1.648,2.132
"M2,2x0,25",0.25,2.2,2.038,1.929,1.893,2.814
"M2,5",0.45,2.5,2.208,2.013,1.948,2.979
"M2,5x0,35",0.35,2.5,2.273,2.121,2.071,3.366
M3,0.5,3,2.675,2.459,2.387,4.471
"M3x0,35",0.35,3,2.773,2.621,2.571,5.187
"M3,5",0.6,3.5,3.110,2.850,2.764,5.997
"M3,5x0,35",0.35,3.5,3.273,3.121,3.071,7.401
M4,0.7,4,3.545,3.242,3.141,7.746
"M4x0,5",0.5,4,3.675,3.459,3.387,9.003
"M4,5",0.75,4.5,4.013,3.688,3.580,10.060
"M4,5x0,5",0.5,4.5,4.175,3.959,3.887,11.858
M5,0.8,5,4.480,4.134,4.019,12.676
"M5x0,5",0.5,5,4.675,4.459,4.387,15.105
"M5,5",0.5,5.5,5.175,4.959,4.887,18.745
M6,1,6,5.350,4.917,4.773,17.884
"M6x0,75",0.75,6,5.513,5.188,5.080,20.257
"M6x0,5",0.5,6,5.675,5.459,5.387,22.777
M7,1,7,6.350,5.917,5.773,26.163
"M7x0,75",0.75,7,6.513,6.188,6.080,29.017
"M7x0,5",0.5,7,6.675,6.459,6.387,32.019
M8,1.25,8,7.188,6.647,6.466,32.824
M8x1,1,8,7.350,6.917,6.773,36.012
"M8x0,75",0.75,8,7.513,7.188,7.080,39.348
"M8x0,5",0.5,8,7.675,7.459,7.387,42.831
M9,1.25,9,8.188,7.647,7.466,43.762
M9x1,1,9,8.350,7.917,7.773,47.431
"M9x0,75",0.75,9,8.513,8.188,8.080,51.248
"M9x0,5",0.5,9,8.675,8.459,8.387,55.213
M10,1.5,10,9.026,8.376,8.160,52.266
"M10x1,25",1.25,10,9.188,8.647,8.466,56.269
M10x1,1,10,9.350,8.917,8.773,60.420
"M10x0,75",0.75,10,9.513,9.188,9.080,64.718
"M10x0,5",0.5,10,9.675,9.459,9.387,69.164
M11,1.5,11,10.026,9.376,9.160,65.862
M11x1,1,11,10.350,9.917,9.773,74.979
"M11x0,75",0.75,11,10.513,10.188,10.080,79.759
"M11x0,5",0.5,11,10.675,10.459,10.387,84.686
M12,1.75,12,10.863,10.106,9.853,76.209
"M12x1,5",1.5,12,11.026,10.376,10.160,81.027
"M12x1,25",1.25,12,11.188,10.647,10.466,85.993
M12x1,1,12,11.350,10.917,10.773,91.107
"M12x0,75",0.75,12,11.513,11.188,11.080,96.369
"M12x0,5",0.5,12,11.675,11.459,11.387,101.778
M14,2,14,12.701,11.835,11.546,104.653
"M14x1,5",1.5,14,13.026,12.376,12.160,116.069
"M14x1,25",1.25,14,13.188,12.647,12.466,121.998
M14x1,1,14,13.350,12.917,12.773,128.075
"M14x0,75",0.75,14,13.513,13.188,13.080,134.300
"M14x0,5",0.5,14,13.675,13.459,13.387,140.672
"M15x1,5",1.5,15,14.026,13.376,13.160,135.944
M15x1,1,15,14.350,13.917,13.773,148.914
M16,2,16,14.701,13.835,13.546,144.048
"M16x1,5",1.5,16,15.026,14.376,14.160,157.390
M16x1,1,16,15.350,14.917,14.773,171.323
"M16x0,75",0.75,16,15.513,15.188,15.080,178.510
"M16x0,5",0.5,16,15.675,15.459,15.387,185.846
"M17x1,5",1.5,17,16.026,15.376,15.160,180.406
M17x1,1,17,16.350,15.917,15.773,195.301
M18,2.5,18,16.376,15.294,14.933,175.047
M18x2,2,18,16.701,15.835,15.546,189.724
"M18x1,5",1.5,18,17.026,16.376,16.160,204.992
M18x1,1,18,17.350,16.917,16.773,220.850
"M18x0,75",0.75,18,17.513,17.188,17.080,229.001
"M18x0,5",0.5,18,17.675,17.459,17.387,237.300
M20,2.5,20,18.376,17.294,16.933,225.076
M20x2,2,20,18.701,17.835,17.546,241.679
"M20x1,5",1.5,20,19.026,18.376,18.160,258.873
M20x1,1,20,19.350,18.917,18.773,276.658
"M20x0,75",0.75,20,19.513,19.188,19.080,285.772
"M20x0,5",0.5,20,19.675,19.459,19.387,295.034
M22,2.5,22,20.376,19.294,18.933,281.385
M22x2,2,22,20.701,19.835,19.546,299.914
"M22x1,5",1.5,22,21.026,20.376,20.160,319.034
M22x1,1,22,21.350,20.917,20.773,338.746
"M22x0,75",0.75,22,21.513,21.188,21.080,348.823
"M22x0,5",0.5,22,21.675,21.459,21.387,359.047
M24,3,24,22.051,20.752,20.319,324.109
M24x2,2,24,22.701,21.835,21.546,364.429
"M24x1,5",1.5,24,23.026,22.376,22.160,385.476
M24x1,1,24,23.350,22.917,22.773,407.113
"M24x0,75",0.75,24,23.513,23.188,23.080,418.153
M25x2,2,25,23.701,22.835,22.546,399.042
"M25x1,5",1.5,25,24.026,23.376,23.160,421.052
M25x1,1,25,24.350,23.917,23.773,443.652
"M26x1,5",1.5,26,25.026,24.376,24.160,458.197
M27x3,3,27,25.051,23.752,23.319,426.878
M27x2,2,27,25.701,24.835,24.546,472.977
M27,1.5,27,26.026,25.376,25.160,496.913
M27x1,1,27,26.350,25.917,25.773,521.440
"M27x0,75",0.75,27,26.513,26.188,26.080,533.924
M28x2,2,28,26.701,25.835,25.546,512.300
"M28x1,5",1.5,28,27.026,26.376,26.160,537.199
M28x1,1,28,27.350,26.917,26.773,562.688
M30,3.5,30,27.727,26.211,25.706,518.725
M30x3,3,30,28.051,26.752,26.319,543.778
M30x2,2,30,28.701,27.835,27.546,595.655
"M30x1,5",1.5,30,29.026,28.376,28.160,622.480
M30x1,1,30,29.350,28.917,28.773,649.896
"M30x0,75",0.75,30,29.513,29.188,29.080,663.825
M32x2,2,32,30.701,29.835,29.546,685.291
"M32x1,5",1.5,32,31.026,30.376,30.160,714.042
M33,3.5,33,30.727,29.211,28.706,646.865
M33x3,3,33,31.051,29.752,29.319,674.807
M33x2,2,33,31.701,30.835,30.546,732.463
"M33x1,5",1.5,33,32.026,31.376,31.160,762.177
M33x1,1,33,32.350,31.917,31.773,792.482
"M33x0,75",0.75,33,32.513,32.188,32.080,807.857
"M35x1,5",1.5,35,34.026,33.376,33.160,863.159
M36,4,36,33.402,31.670,31.093,758.895
M36x3,3,36,34.051,32.752,32.319,819.966
M36x2,2,36,34.701,33.835,33.546,883.401
"M36x1,5",1.5,36,35.026,34.376,34.160,916.005
M36x1,1,36,35.350,34.917,34.773,949.199
"M38x1,5",1.5,38,37.026,36.376,36.160,1026.406
M39,4,39,36.402,34.670,34.093,912.406
M39x3,3,39,37.051,35.752,35.319,979.256
M39x2,2,39,37.701,36.835,36.546,1048.469
"M39x1,5",1.5,39,38.026,37.376,37.160,1083.962
M39x1,1,39,38.350,37.917,37.773,1120.045
M40x3,3,40,38.051,36.752,36.319,1035.492
M40x2,2,40,38.701,37.835,37.546,1106.632
"M40x1,5",1.5,40,39.026,38.376,38.160,1143.087
M42,4.5,42,39.077,37.129,36.479,1044.618
M42x4,4,42,39.402,37.670,37.093,1080.046
M42x3,3,42,40.051,38.752,38.319,1152.675
M42x2,2,42,40.701,39.835,39.546,1227.667
"M42x1,5",1.5,42,41.026,40.376,40.160,1266.049
M42x1,1,42,41.350,40.917,40.773,1305.022
"M45x4,5",4.5,45,42.077,40.129,39.479,1223.500
M45,4,45,42.402,40.670,40.093,1261.817
M45x3,3,45,43.051,41.752,41.319,1340.224
M45x2,2,45,43.701,42.835,42.546,1420.995
"M45x1,5",1.5,45,44.026,43.376,43.160,1462.266
M45x1,1,45,44.350,43.917,43.773,1504.128
M48,5,48,44.752,42.587,41.866,1375.9
M48x4,4,48,45.402,43.670,43.093,1457.7
M48x3,3,48,46.051,44.752,44.319,1541.9
M48x2,2,48,46.701,45.835,45.546,1628.5
"M48x1,5",1.5,48,47.026,46.376,46.160,1672.6
M48x1,1,48,47.350,46.917,46.773,1717.4
M50x3,3,50,48.051,46.752,46.319,1684.2
M50x2,2,50,48.701,47.835,47.546,1774.6
"M50x1,5",1.5,50,49.026,48.376,48.160,1820.7
M52,5,52,48.752,46.587,45.866,1651.4
M52x4,4,52,49.402,47.670,47.093,1740.9
M52x3,3,52,50.051,48.752,48.319,1832.8
M52x2,2,52,50.701,49.835,49.546,1927.0
"M52x1,5",1.5,52,51.026,50.376,50.160,1975.1
M52x1,1,52,51.350,50.917,50.773,2023.7
M55x4,4,55,52.402,50.670,50.093,1969.8
M55x3,3,55,53.051,51.752,51.319,2067.4
M55x2,2,55,53.701,52.835,52.546,2167.5
"M55x1,5",1.5,55,54.026,53.376,53.160,2218.4
M56,5.5,56,52.428,50.046,49.252,1904.2
M56x4,4,56,53.402,51.670,51.093,2049.2
M56x3,3,56,54.051,52.752,52.319,2148.8
M56x2,2,56,54.701,53.835,53.546,2250.8
"M56x1,5",1.5,56,55.026,54.376,54.160,2302.6
M56x1,1,56,55.350,54.917,54.773,2355.1
M58x4,4,58,55.402,53.670,53.093,2212.8
M58x3,3,58,56.051,54.752,54.319,2316.2
M58x2,2,58,56.701,55.835,55.546,2422.0
"M58x1,5",1.5,58,57.026,56.376,56.160,2475.8
M60,5.5,60,56.428,54.046,53.252,2226.1
M60x4,4,60,57.402,55.670,55.093,2382.6
M60x3,3,60,58.051,56.752,56.319,2489.9
M60x2,2,60,58.701,57.835,57.546,2599.6
"M60x1,5",1.5,60,59.026,58.376,58.160,2655.3
M60x1,1,60,59.350,58.917,58.773,2711.6
M62x4,4,62,59.402,57.670,57.093,2558.8
M62x3,3,62,60.051,58.752,58.319,2669.9
M62x2,2,62,60.701,59.835,59.546,2783.4
"M62x1,5",1.5,62,61.026,60.376,60.160,2841.1
M64,6,64,60.103,57.505,56.639,2518.2
M64x4,4,64,61.402,59.670,59.093,2741.2
M64x3,3,64,62.051,60.752,60.319,2856.2
M64x2,2,64,62.701,61.835,61.546,2973.5
"M64x1,5",1.5,64,63.026,62.376,62.160,3033.1
M64x1,1,64,63.350,62.917,62.773,3093.3
M65x4,4,65,62.402,60.670,60.093,2834.7
M65x3,3,65,63.051,61.752,61.319,2951.7
M65x2,2,65,63.701,62.835,62.546,3070.9
"M65x1,5",1.5,65,64.026,63.376,63.160,3131.5
M68,6,68,64.103,61.505,60.639,2886.5
M68x4,4,68,65.402,63.670,63.093,3124.8
M68x3,3,68,66.051,64.752,64.319,3247.5
M68x2,2,68,66.701,65.835,65.546,3372.6
"M68x1,5",1.5,68,67.026,66.376,66.160,3436.0
M68x1,1,68,67.350,66.917,66.773,3500.0
M70x6,6,70,66.103,63.505,62.639,3080.0
M70x4,4,70,67.402,65.670,65.093,3326.1
M70x3,3,70,68.051,66.752,66.319,3452.6
M70x2,2,70,68.701,67.835,67.546,3581.6
"M70x1,5",1.5,70,69.026,68.376,68.160,3646.9
M72,6,72,68.103,65.505,64.639,3279.9
M72x4,4,72,69.402,67.670,67.093,3533.6
M72x3,3,72,70.051,68.752,68.319,3664.0
M72x2,2,72,70.701,69.835,69.546,3796.8
"M72x1,5",1.5,72,71.026,70.376,70.160,3864.1
M72x1,1,72,71.350,70.917,70.773,3931.9
M75x4,4,75,72.402,70.670,70.093,3856.7
M75x3,3,75,73.051,71.752,71.319,3992.9
M75x2,2,75,73.701,72.835,72.546,4131.4
"M75x1,5",1.5,75,74.026,73.376,73.160,4201.6
M76,6,76,72.103,69.505,68.639,3698.4
M76x4,4,76,73.402,71.670,71.093,3967.5
M76x3,3,76,74.051,72.752,72.319,4105.6
M76x2,2,76,74.701,73.835,73.546,4246.1
"M76x1,5",1.5,76,75.026,74.376,74.160,4317.2
M76x1,1,76,75.350,74.917,74.773,4389.0
M78x2,2,78,76.701,75.835,75.546,4480.2
M80,6,80,76.103,73.505,72.639,4142.0
M80x4,4,80,77.402,75.670,75.093,4426.5
M80x3,3,80,78.051,76.752,76.319,4572.3
M80x2,2,80,78.701,77.835,77.546,4720.5
"M80x1,5",1.5,80,79.026,78.376,78.160,4795.5
M80x1,1,80,79.350,78.917,78.773,4871.1
M82x2,2,82,80.701,79.835,79.546,4967.2
M85,6,85,81.103,78.505,77.639,4731.8
M85x4,4,85,82.402,80.670,80.093,5035.6
M85x3,3,85,83.051,81.752,81.319,5191.1
M85x2,2,85,83.701,82.835,82.546,5348.9
"M85x1,5",1.5,85,84.026,83.376,83.160,5428.7
M90,6,90,86.103,83.505,82.639,5360.9
M90x4,4,90,87.402,85.670,85.093,5684.0
M90x3,3,90,88.051,86.752,86.319,5849.1
M90x2,2,90,88.701,87.835,87.546,6016.5
"M90x1,5",1.5,90,89.026,88.376,88.160,6101.1
M95x6,6,95,91.103,88.505,87.639,6029.2
M95x4,4,95,92.402,90.670,90.093,6371.6
M95x3,3,95,93.051,91.752,91.319,6546.3
M95x2,2,95,93.701,92.835,92.546,6723.4
"M95x1,5",1.5,95,94.026,93.376,93.160,6812.8
M100,6,100,96.103,93.505,92.639,6736.8
M100x4,4,100,97.402,95.670,95.093,7098.4
M100x3,3,100,98.051,96.752,96.319,7282.8
M100x2,2,100,98.701,97.835,97.546,7469.5
"M100x1,5",1.5,100,99.026,98.376,98.160,7563.7
M105,6,105,101.103,98.505,97.639,7483.7
M105x4,4,105,102.402,100.670,100.093,7864.5
M105x3,3,105,103.051,101.752,101.319,8058.5
M105x2,2,105,103.701,102.835,102.546,8254.9
"M105x1,5",1.5,105,104.026,103.376,103.160,8353.9
M110,6,110,106.103,103.505,102.639,8269.8
M110x4,4,110,107.402,105.670,105.093,8669.9
M110x3,3,110,108.051,106.752,106.319,8873.5
M110x2,2,110,108.701,107.835,107.546,9079.5
"M110x1,5",1.5,110,109.026,108.376,108.160,9183.3
M115,6,115,111.103,108.505,107.639,9095.1
M115x4,4,115,112.402,110.670,110.093,9514.5
M115x3,3,115,113.051,111.752,111.319,9727.7
M115x2,2,115,113.701,112.835,112.546,9943.3
"M115x1,5",1.5,115,114.026,113.376,113.160,10052.0
M120,6,120,116.103,113.505,112.639,9959.7
M120x4,4,120,117.402,115.670,115.093,10398.3
M120x3,3,120,118.051,116.752,116.319,10621.2
M120x2,2,120,118.701,117.835,117.546,10846.4
"M120x1,5",1.5,120,119.026,118.376,118.160,10959.9
M125,6,125,121.103,118.505,117.639,10863.5
M125x4,4,125,122.402,120.670,120.093,11321.4
M125x3,3,125,123.051,121.752,121.319,11553.9
M125x2,2,125,123.701,122.835,122.546,11788.8
"M125x1,5",1.5,125,124.026,123.376,123.160,11907.1
M130,6,130,126.103,123.505,122.639,11806.6
M130x4,4,130,127.402,125.670,125.093,12283.8
M130x3,3,130,128.051,126.752,126.319,12525.9
M130x2,2,130,128.701,127.835,127.546,12770.4
"M130x1,5",1.5,130,129.026,128.376,128.160,12893.6
M135,6,135,131.103,128.505,127.639,12789.0
M135x4,4,135,132.402,130.670,130.093,13285.4
M135x3,3,135,133.051,131.752,131.319,13537.2
M135x2,2,135,133.701,132.835,132.546,13791.3
"M135x1,5",1.5,135,134.026,133.376,133.160,13919.2
M140,6,140,136.103,133.505,132.639,13810.5
M140x4,4,140,137.402,135.670,135.093,14326.2
M140x3,3,140,138.051,136.752,136.319,14587.6
M140x2,2,140,138.701,137.835,137.546,14851.4
"M140x1,5",1.5,140,139.026,138.376,138.160,14984.2
M145,6,145,141.103,138.505,137.639,14871.4
M145x4,4,145,142.402,140.670,140.093,15406.3
M145x3,3,145,143.051,141.752,141.319,15677.4
M145x2,2,145,143.701,142.835,142.546,15950.8
"M145x1,5",1.5,145,144.026,143.376,143.160,16088.3
M150,6,150,146.103,143.505,142.639,15971.5
M150x4,4,150,147.402,145.670,145.093,16525.7
M150x3,3,150,148.051,146.752,146.319,16806.4
M150x2,2,150,148.701,147.835,147.546,17089.4
"M150x1,5",1.5,150,149.026,148.376,148.160,17231.8
M155,6,155,151.103,148.505,147.639,17110.8
M155x4,4,155,152.402,150.670,150.093,17684.3
M155x3,3,155,153.051,151.752,151.319,17974.6
M155x2,2,155,153.701,152.835,152.546,18267.2
M160,6,160,156.103,153.505,152.639,18289.4
M160x4,4,160,157.402,155.670,155.093,18882.1
M160x3,3,160,158.051,156.752,156.319,19182.1
M160x2,2,160,158.701,157.835,157.546,19484.3
M165,6,165,161.103,158.505,157.639,19507.2
M165x4,4,165,162.402,160.670,160.093,20119.2
M165x3,3,165,163.051,161.752,161.319,20428.8
M165x2,2,165,163.701,162.835,162.546,20740.7
M170,6,170,166.103,163.505,162.639,20764.3
M170x4,4,170,167.402,165.670,165.093,21395.6
M170x3,3,170,168.051,166.752,166.319,21714.8
M170x2,2,170,168.701,167.835,167.546,22036.3
M175,6,175,171.103,168.505,167.639,22060.7
M175x4,4,175,172.402,170.670,170.093,22711.2
M175x3,3,175,173.051,171.752,171.319,23040.0
M175x2,2,175,173.701,172.835,172.546,23371.2
M180,6,180,176.103,173.505,172.639,23396.3
M180x4,4,180,177.402,175.670,175.093,24066.1
M180x3,3,180,178.051,176.752,176.319,24404.5
M180x2,2,180,178.701,177.835,177.546,24745.3
M185,6,185,181.103,178.505,177.639,24771.1
M185x4,4,185,182.402,180.670,180.093,25460.2
M185x3,3,185,183.051,181.752,181.319,25808.2
M185x2,2,185,183.701,182.835,182.546,26158.7
M190,6,190,186.103,183.505,182.639,26185.2
M190x4,4,190,187.402,185.670,185.093,26893.5
M190x3,3,190,188.051,186.752,186.319,27251.2
M190x2,2,190,188.701,187.835,187.546,27611.3
M195,6,195,191.103,188.505,187.639,27638.5
M195x4,4,195,192.402,190.670,190.093,28366.1
M195x3,3,195,193.051,191.752,191.319,28733.4
M195x2,2,195,193.701,192.835,192.546,29103.1
M200,6,200,196.103,193.505,192.639,29131.1
M200x4,4,200,197.402,195.670,195.093,29878.0
M200x3,3,200,198.051,196.752,196.319,30254.9
M200x2,2,200,198.701,197.835,197.546,30634.3
M205,6,205,201.103,198.505,197.639,30663.0
M205x4,4,205,202.402,200.670,200.093,31429.1
M205x3,3,205,203.051,201.752,201.319,31815.7
M210,6,210,206.103,203.505,202.639,32234.0
M210x4,4,210,207.402,205.670,205.093,33019.4
M210x3,3,210,208.051,206.752,206.319,33415.6
